,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,TB,RC
 ,Randal Grichuk,6,151,586,75,136,29,5,31,80,35,163,2,1,.232,333,91.69565217391305
 ,Kole Calhoun,8,152,552,92,128,29,1,33,74,70,162,4,1,.232,321,102.18327974276528
 ,Rio Ruiz,4,127,370,35,86,13,2,12,46,40,88,0,1,.232,166,51.014634146341464
279,Tucker Barnhart,6,115,316,32,73,14,0,11,40,44,83,1,0,.231,145,47.125
 ,Joey Wendle,4,75,238,32,55,13,2,3,19,14,47,8,3,.231,99,27.107142857142858
281,Jarrod Dyson,10,130,400,65,92,11,2,7,27,47,86,30,4,.230,148,46.022371364653246
 ,Teoscar Hernandez,4,125,417,58,96,19,2,26,65,45,153,6,3,.230,244,74.46753246753246
283,Tyler Flowers,11,85,271,36,62,11,3,11,34,31,105,0,0,.229,137,42.188741721854306
 ,Greg Allen,3,89,231,30,53,9,3,4,27,11,53,8,2,.229,96,25.388429752066116
285,Brandon Crawford,9,147,500,58,114,24,2,11,59,53,117,3,2,.228,212,64.02169981916818
 ,Hernan Perez,8,91,232,29,53,11,0,8,18,11,66,5,1,.228,107,28.181069958847736
 ,Kevin Kiermaier,7,129,447,60,102,20,7,14,55,26,104,19,5,.228,219,59.264270613107826
288,Logan Forsythe,9,101,317,38,72,17,1,7,39,44,100,2,0,.227,137,44.02216066481994
 ,Mallex Smith,4,134,510,70,116,19,9,6,37,42,141,46,9,.227,205,58.677536231884055
 ,Rowdy Tellez,2,111,370,49,84,19,0,21,54,29,116,1,1,.227,206,58.340852130325814
291,Matt Carpenter,9,129,416,59,94,20,2,15,46,63,129,6,1,.226,200,65.55323590814196
 ,Matt Adams,8,111,310,42,70,14,0,20,56,20,115,0,0,.226,178,48.54545454545455
 ,J.P. Crawford,3,93,345,43,78,21,4,7,46,43,83,5,3,.226,160,49.896907216494846
 ,Austin Riley,1,80,274,41,62,11,1,18,49,16,108,0,2,.226,159,42.765517241379314
 ,Jake Bauers,2,117,372,46,84,16,1,12,43,45,115,3,3,.226,167,51.66187050359712
 ,Rhys Hoskins,3,160,570,86,129,33,5,29,85,116,173,2,2,.226,326,116.42857142857143
297,Jackie Bradley Jr.,7,147,494,69,111,28,3,21,62,56,155,8,6,.225,260,78.94545454545455
 ,Guillermo Heredia,4,89,204,31,46,13,0,5,20,18,60,2,2,.225,92,26.52252252252252
 ,Stevie Wilkerson,2,117,329,41,74,18,2,10,35,22,108,3,3,.225,156,42.666666666666664
300,Yan Gomes,8,97,314,36,70,16,0,12,43,38,84,2,0,.223,150,46.02272727272727
